text, lemma_, pos_, tag_, dep_, is_alpha, is_stop, isOov, count, samples
break,break,NOUN,NN,ROOT,True,False,False,4,[u'eventhubs georecovery-alias break-pair', u'servicebus georecovery-alias break-pair']
subtask,subtask,NOUN,NN,ROOT,True,False,False,2,[u'batch task subtask', u'batch task subtask list']
dps,dps,NOUN,NN,ROOT,True,False,False,24,[u'iot dps update', u'iot dps linked-hub delete']
now,now,ADV,RB,advmod,True,False,False,1,[u'backup protection backup-now']
term,term,NOUN,NNS,dobj,True,False,False,1,[u'vm image accept-terms']
name,name,NOUN,NN,dobj,True,False,False,9,[u'dms project check-name', u'cosmosdb check-name-exists']
locator,locator,NOUN,NN,dobj,True,False,False,6,[u'ams streaming locator get-paths', u'ams streaming locator delete']
unregister,unregister,VERB,VB,ROOT,True,False,False,2,[u'cloud unregister', u'provider unregister']
parameter,parameter,NOUN,NNS,compound,True,False,False,1,[u'monitor autoscale-settings get-parameters-template']
functionapp,functionapp,ADJ,JJ,compound,True,False,True,42,[u'functionapp config ssl delete', u'functionapp identity show']
merge,merge,NOUN,NN,ROOT,True,False,False,3,[u'keyvault certificate pending merge', u'storage entity merge']
token,token,NOUN,NN,ROOT,True,False,False,3,[u'webapp deployment source update-token', u'account get-access-token']
domain,domain,NOUN,NN,nsubj,True,False,False,8,[u'cdn custom-domain delete', u'cdn custom-domain enable-https']
activate,activate,VERB,VB,ROOT,True,False,False,1,[u'batch application package activate']
map,map,NOUN,NN,compound,True,False,False,19,[u'network application-gateway url-path-map show', u'network application-gateway url-path-map rule delete']
operation,operation,NOUN,NN,ROOT,True,False,False,7,[u'group deployment operation', u'provider operation']
summary,summary,NOUN,NN,compound,True,False,False,5,[u'consumption reservation summary list', u'batch application summary']
event,event,NOUN,NN,compound,True,False,False,10,[u'policy event list', u'eventgrid event-subscription show']
predefined,predefined,ADJ,JJ,amod,True,False,False,2,[u'network application-gateway ssl-policy predefined show', u'network application-gateway ssl-policy predefined list']
subnet,subnet,NOUN,NN,ROOT,True,False,False,6,[u'network vnet subnet', u'network vnet subnet create']
rp,rp,X,XX,appos,True,False,False,2,[u'backup restore files unmount-rp', u'backup restore files mount-rp']
network,network,NOUN,NN,compound,True,False,False,424,[u'network vnet check-ip-address', u'network lb address-pool delete']
space,space,NOUN,NNS,dobj,True,False,False,2,[u'aks remove-dev-spaces', u'aks use-dev-spaces']
reboot,reboot,NOUN,NN,ROOT,True,False,False,2,[u'batch node reboot', u'redis force-reboot']
publish,publish,VERB,VBG,compound,True,False,False,2,[u'webapp deployment list-publishing-profiles', u'functionapp deployment list-publishing-profiles']
method,method,NOUN,NN,ROOT,True,False,False,1,[u'redis import-method']
health,health,NOUN,NN,ROOT,True,False,False,1,[u'network application-gateway show-backend-health']
nic,nic,ADJ,JJ,compound,True,False,False,31,[u'vmss nic list-vm-nics', u'vmss nic list-vm-nics']
formula,formula,NOUN,NN,nsubj,True,False,False,5,[u'lab formula delete', u'lab formula export-artifacts']
iot,iot,NOUN,NN,ROOT,True,False,False,74,[u'iot device message complete', u'iot dps update']
associate,associate,VERB,VBN,ROOT,True,False,False,1,[u'backup policy list-associated-items']
diagnostic,diagnostic,NOUN,NNS,dobj,True,False,False,19,[u'vmss diagnostics', u'monitor diagnostic-settings categories']
asg,asg,NOUN,NN,compound,True,False,False,6,[u'network asg list', u'network asg show']
collection,collection,NOUN,NN,compound,True,False,False,7,[u'cosmosdb collection update', u'cosmosdb collection delete']
advisor,advisor,NOUN,NN,compound,True,False,False,9,[u'advisor configuration update', u'advisor recommendation disable']
put,put,VERB,VBD,ROOT,True,False,False,1,[u'storage message put']
vmss,vmss,NOUN,NN,compound,True,False,True,53,[u'vmss list', u'vmss list-skus']
kubernete,kubernete,NOUN,NNS,nsubj,True,False,True,4,[u'acs kubernetes browse', u'acs kubernetes']
generate,generate,VERB,VBP,ROOT,True,False,False,10,[u'storage table generate-sas', u'storage file generate-sas']
log,log,NOUN,NN,compound,True,False,False,40,[u'monitor activity-log alert action-group remove', u'monitor activity-log list-categories']
definition,definition,NOUN,NN,compound,True,False,False,23,[u'managedapp definition show', u'policy definition']
managedapp,managedapp,NOUN,NN,compound,True,False,True,10,[u'managedapp definition show', u'managedapp definition list']
logging,logging,NOUN,NN,compound,True,False,False,3,[u'storage logging show', u'storage logging']
reactivate,reactivate,VERB,VBP,ROOT,True,False,False,1,[u'batch task reactivate']
route,route,NOUN,NN,dobj,True,False,False,57,[u'network express-route peering', u'network express-route wait']
midb,midb,NOUN,NN,nsubj,True,False,True,6,[u'sql midb delete', u'sql midb list']
filter,filter,NOUN,NN,compound,True,False,False,13,[u'network route-filter rule', u'network route-filter list']
