text, lemma_, pos_, tag_, dep_, is_alpha, is_stop, is_oov, text
webapp,webapp,NOUN,NN,compound,True,False,False,webapp deployment source update-token
deployment,deployment,NOUN,NN,compound,True,False,False,webapp deployment source update-token
source,source,NOUN,NN,compound,True,False,False,webapp deployment source update-token
update,update,NOUN,NN,compound,True,False,False,webapp deployment source update-token
token,token,NOUN,NN,ROOT,True,False,False,webapp deployment source update-token
network,network,NOUN,NN,compound,True,False,False,network vnet-gateway revoked-cert
vnet,vnet,NOUN,NN,compound,True,False,False,network vnet-gateway revoked-cert
gateway,gateway,NOUN,NN,nsubj,True,False,False,network vnet-gateway revoked-cert
revoked,revoke,VERB,VBN,ROOT,True,False,False,network vnet-gateway revoked-cert
cert,cert,NOUN,NN,dobj,True,False,False,network vnet-gateway revoked-cert
dla,dla,NOUN,NN,compound,True,False,False,dla account firewall update
account,account,NOUN,NN,compound,True,False,False,dla account firewall update
firewall,firewall,NOUN,NN,compound,True,False,False,dla account firewall update
update,update,NOUN,NN,ROOT,True,False,False,dla account firewall update
network,network,NOUN,NN,nsubj,True,False,False,network express-route wait
express,express,VERB,VBP,ROOT,True,False,False,network express-route wait
route,route,NOUN,NN,dobj,True,False,False,network express-route wait
wait,wait,NOUN,NN,dep,True,False,False,network express-route wait
batchai,batchai,ADJ,JJ,compound,True,False,True,batchai job list
job,job,NOUN,NN,compound,True,False,False,batchai job list
list,list,NOUN,NN,ROOT,True,False,False,batchai job list
webapp,webapp,NOUN,NN,compound,True,False,False,webapp deployment container
deployment,deployment,NOUN,NN,compound,True,False,False,webapp deployment container
container,container,NOUN,NN,ROOT,True,False,False,webapp deployment container
advisor,advisor,NOUN,NN,compound,True,False,False,advisor configuration update
configuration,configuration,NOUN,NN,compound,True,False,False,advisor configuration update
update,update,NOUN,NN,ROOT,True,False,False,advisor configuration update
servicebus,servicebus,ADJ,JJ,compound,True,False,True,servicebus namespace create
namespace,namespace,NOUN,NN,nsubj,True,False,False,servicebus namespace create
create,create,VERB,VBP,ROOT,True,False,False,servicebus namespace create
iot,iot,NOUN,NN,ROOT,True,False,False,iot device message
device,device,NOUN,NN,compound,True,False,False,iot device message
message,message,NOUN,NN,dobj,True,False,False,iot device message
network,network,NOUN,NN,compound,True,False,False,network dns record-set srv create
dns,dns,NOUN,NN,amod,True,False,False,network dns record-set srv create
record,record,NOUN,NN,compound,True,False,False,network dns record-set srv create
set,set,VERB,VBN,amod,True,False,False,network dns record-set srv create
srv,srv,PROPN,NNP,nsubj,True,False,False,network dns record-set srv create
create,create,VERB,VBP,ROOT,True,False,False,network dns record-set srv create
network,network,NOUN,NN,compound,True,False,False,network application-gateway ssl-policy predefined show
application,application,NOUN,NN,compound,True,False,False,network application-gateway ssl-policy predefined show
gateway,gateway,NOUN,NN,nmod,True,False,False,network application-gateway ssl-policy predefined show
ssl,ssl,NOUN,NN,amod,True,False,False,network application-gateway ssl-policy predefined show
policy,policy,NOUN,NN,nmod,True,False,False,network application-gateway ssl-policy predefined show
predefined,predefined,ADJ,JJ,amod,True,False,False,network application-gateway ssl-policy predefined show
show,show,NOUN,NN,ROOT,True,False,False,network application-gateway ssl-policy predefined show
mysql,mysql,NOUN,NNS,compound,True,False,False,mysql db show
db,db,NOUN,NN,nsubj,True,False,False,mysql db show
show,show,NOUN,NN,ROOT,True,False,False,mysql db show
network,network,NOUN,NN,nmod,True,False,False,network dns record-set cname set-record
dns,dns,NOUN,NN,amod,True,False,False,network dns record-set cname set-record
record,record,NOUN,NN,npadvmod,True,False,False,network dns record-set cname set-record
set,set,NOUN,NN,amod,True,False,False,network dns record-set cname set-record
cname,cname,NOUN,NN,compound,True,False,False,network dns record-set cname set-record
set,set,VERB,VBN,compound,True,False,False,network dns record-set cname set-record
record,record,NOUN,NN,ROOT,True,False,False,network dns record-set cname set-record
network,network,NOUN,NN,compound,True,False,False,network vpn-connection update
vpn,vpn,NOUN,NN,compound,True,False,False,network vpn-connection update
connection,connection,NOUN,NN,compound,True,False,False,network vpn-connection update
update,update,NOUN,NN,ROOT,True,False,False,network vpn-connection update
role,role,NOUN,NN,compound,True,False,False,role definition update
definition,definition,NOUN,NN,compound,True,False,False,role definition update
update,update,NOUN,NN,ROOT,True,False,False,role definition update
network,network,NOUN,NN,nmod,True,False,False,network dns record-set txt create
dns,dns,NOUN,NN,compound,True,False,False,network dns record-set txt create
record,record,NOUN,NN,nmod,True,False,False,network dns record-set txt create
set,set,NOUN,NN,amod,True,False,False,network dns record-set txt create
txt,txt,NOUN,NN,nsubj,True,False,False,network dns record-set txt create
create,create,NOUN,NN,ROOT,True,False,False,network dns record-set txt create
network,network,NOUN,NN,compound,True,False,False,network nsg
nsg,nsg,NOUN,NN,ROOT,True,False,True,network nsg
monitor,monitor,VERB,VB,ROOT,True,False,False,monitor action-group delete
action,action,NOUN,NN,compound,True,False,False,monitor action-group delete
group,group,NOUN,NN,dobj,True,False,False,monitor action-group delete
delete,delete,ADJ,JJ,dep,True,False,False,monitor action-group delete
network,network,NOUN,NN,compound,True,False,False,network application-gateway redirect-config list
application,application,NOUN,NN,compound,True,False,False,network application-gateway redirect-config list
gateway,gateway,NOUN,NN,nsubj,True,False,False,network application-gateway redirect-config list
redirect,redirect,VERB,VB,ROOT,True,False,False,network application-gateway redirect-config list
config,config,NOUN,NN,compound,True,False,False,network application-gateway redirect-config list
list,list,NOUN,NN,dobj,True,False,False,network application-gateway redirect-config list
iot,iot,NOUN,NN,ROOT,True,False,False,iot device update
device,device,NOUN,NN,compound,True,False,False,iot device update
update,update,NOUN,NN,dobj,True,False,False,iot device update
ad,ad,NOUN,NN,compound,True,False,False,ad group member
group,group,NOUN,NN,compound,True,False,False,ad group member
member,member,NOUN,NN,ROOT,True,False,False,ad group member
network,network,NOUN,NN,compound,True,False,False,network vnet update
vnet,vnet,NOUN,NN,compound,True,False,False,network vnet update
update,update,NOUN,NN,ROOT,True,False,False,network vnet update
batch,batch,ADJ,JJ,amod,True,False,False,batch job delete
job,job,NOUN,NN,nsubj,True,False,False,batch job delete
delete,delete,ADJ,JJ,ROOT,True,False,False,batch job delete
network,network,NOUN,NN,compound,True,False,False,network application-gateway ssl-cert delete
application,application,NOUN,NN,compound,True,False,False,network application-gateway ssl-cert delete
gateway,gateway,NOUN,NN,nmod,True,False,False,network application-gateway ssl-cert delete
ssl,ssl,NOUN,NN,amod,True,False,False,network application-gateway ssl-cert delete
cert,cert,NOUN,NN,nsubj,True,False,False,network application-gateway ssl-cert delete
delete,delete,ADJ,JJ,ROOT,True,False,False,network application-gateway ssl-cert delete
storage,storage,NOUN,NN,compound,True,False,False,storage file copy start
file,file,NOUN,NN,compound,True,False,False,storage file copy start
copy,copy,NOUN,NN,nsubj,True,False,False,storage file copy start
start,start,NOUN,NN,ROOT,True,False,False,storage file copy start
